threshold,precision,recall,f1
0.4418,0.854,0.8998,0.8763
0.4421,0.8559,0.8998,0.8773
0.4421,0.8578,0.8998,0.8783
0.4443,0.8597,0.8998,0.8793
0.4444,0.8616,0.8998,0.8803
0.4462,0.8635,0.8998,0.8813
0.4471,0.8655,0.8998,0.8823
0.4496,0.8674,0.8998,0.8833
0.4519,0.8694,0.8998,0.8843
0.4521,0.8713,0.8998,0.8853
0.4559,0.871,0.8974,0.884
0.4574,0.873,0.8974,0.8851
0.4578,0.875,0.8974,0.8861
0.4624,0.877,0.8974,0.8871
0.4648,0.879,0.8974,0.8881
0.4658,0.8787,0.8951,0.8868
0.4659,0.8807,0.8951,0.8879
0.4661,0.8805,0.8928,0.8866
0.4669,0.8799,0.8881,0.884
0.467,0.8819,0.8881,0.885
0.4697,0.8817,0.8858,0.8837
0.4698,0.8814,0.8834,0.8824
0.4708,0.8811,0.8811,0.8811
0.4709,0.8808,0.8788,0.8798
0.471,0.8829,0.8788,0.8808
0.4731,0.885,0.8788,0.8819
0.4733,0.8871,0.8788,0.8829
0.4748,0.8892,0.8788,0.8839
0.4748,0.8913,0.8788,0.885
0.4778,0.8934,0.8788,0.886
0.4778,0.8931,0.8765,0.8847
0.4783,0.8952,0.8765,0.8857
0.4794,0.895,0.8741,0.8844
0.48,0.8947,0.8718,0.8831
0.4843,0.8945,0.8695,0.8818
0.4849,0.8942,0.8671,0.8805
0.4856,0.894,0.8648,0.8791
0.4879,0.8961,0.8648,0.8802
0.4882,0.8983,0.8648,0.8812
0.4884,0.9005,0.8648,0.8823
0.489,0.9027,0.8648,0.8833
0.4922,0.9049,0.8648,0.8844
0.4932,0.9071,0.8648,0.8854
0.4944,0.9093,0.8648,0.8865
0.4945,0.9091,0.8625,0.8852
0.4951,0.9086,0.8578,0.8825
0.4952,0.9084,0.8555,0.8812
0.4963,0.9082,0.8531,0.8798
0.4971,0.908,0.8508,0.8785
0.4981,0.9102,0.8508,0.8795
0.499,0.9125,0.8508,0.8806
0.4997,0.9121,0.8462,0.8779
0.4998,0.9116,0.8415,0.8752
0.4999,0.9139,0.8415,0.8762
0.5009,0.9162,0.8415,0.8773
0.5017,0.9158,0.8368,0.8745
0.5058,0.9182,0.8368,0.8756
0.5088,0.9205,0.8368,0.8767
0.5095,0.9203,0.8345,0.8753
0.5099,0.9201,0.8322,0.8739
0.5107,0.9225,0.8322,0.875
0.5125,0.9249,0.8322,0.8761
0.5128,0.9273,0.8322,0.8771
0.5145,0.9297,0.8322,0.8782
0.5148,0.9295,0.8298,0.8768
0.5155,0.9293,0.8275,0.8755
0.5157,0.9318,0.8275,0.8765
0.516,0.9342,0.8275,0.8776
0.5163,0.9367,0.8275,0.8787
0.5164,0.9365,0.8252,0.8773
0.5165,0.9363,0.8228,0.8759
0.519,0.936,0.8182,0.8731
0.5193,0.9385,0.8182,0.8742
0.5214,0.941,0.8182,0.8753
0.5215,0.9409,0.8159,0.8739
0.5216,0.9434,0.8159,0.875
0.5217,0.9432,0.8135,0.8736
0.5218,0.9431,0.8112,0.8722
0.5226,0.9457,0.8112,0.8733
0.5231,0.9455,0.8089,0.8719
0.5272,0.9452,0.8042,0.869
0.5283,0.9478,0.8042,0.8701
0.5286,0.9504,0.8042,0.8712
0.53,0.953,0.8042,0.8723
0.5301,0.9529,0.8019,0.8709
0.5317,0.9528,0.7995,0.8695
0.5324,0.9525,0.7949,0.8666
0.5326,0.9524,0.7925,0.8651
0.5392,0.9522,0.7902,0.8637
0.5411,0.9549,0.7902,0.8648
0.5414,0.9576,0.7902,0.8659
0.5427,0.9575,0.7879,0.8645
0.5431,0.9574,0.7855,0.863
0.5438,0.9601,0.7855,0.8641
0.5469,0.9629,0.7855,0.8652
0.547,0.9656,0.7855,0.8663
0.5476,0.9655,0.7832,0.8649
0.5489,0.9654,0.7809,0.8634
0.549,0.9653,0.7786,0.8619
0.5496,0.9652,0.7762,0.8605
0.5518,0.9651,0.7739,0.859
0.5552,0.9679,0.7739,0.8601
0.5556,0.9708,0.7739,0.8612
0.5566,0.9707,0.7716,0.8597
0.5571,0.9706,0.7692,0.8583
0.559,0.9704,0.7646,0.8553
0.561,0.9703,0.7622,0.8538
0.5629,0.9702,0.7599,0.8523
0.5632,0.9701,0.7576,0.8508
0.5635,0.97,0.7529,0.8478
0.5661,0.9699,0.7506,0.8463
0.5688,0.9698,0.7483,0.8447
0.5689,0.9697,0.7459,0.8432
0.5693,0.9696,0.7436,0.8417
0.5704,0.9694,0.7389,0.8386
0.5714,0.9693,0.7366,0.8371
0.5723,0.9692,0.7343,0.8355
0.5738,0.9722,0.7343,0.8367
0.5742,0.9721,0.7319,0.8351
0.578,0.972,0.7296,0.8336
0.5805,0.972,0.7273,0.832
0.5812,0.9719,0.7249,0.8304
0.5839,0.9718,0.7226,0.8289
0.5847,0.9748,0.7226,0.83
0.5849,0.9748,0.7203,0.8284
0.5858,0.9746,0.7156,0.8253
0.5872,0.9744,0.711,0.8221
0.5881,0.9744,0.7086,0.8205
0.5884,0.9775,0.7086,0.8216
0.5909,0.9774,0.7063,0.82
0.5919,0.9773,0.704,0.8184
0.5925,0.9772,0.6993,0.8152
0.5933,0.9771,0.697,0.8136
0.5937,0.977,0.6923,0.8104
0.595,0.9768,0.6876,0.8071
0.5955,0.9767,0.6853,0.8055
0.596,0.9767,0.683,0.8038
0.5969,0.9766,0.6807,0.8022
0.5977,0.9764,0.676,0.7989
0.5988,0.9763,0.6713,0.7956
0.6033,0.9762,0.669,0.7939
0.6046,0.9761,0.6667,0.7922
0.6057,0.976,0.6643,0.7906
0.6059,0.9759,0.662,0.7889
0.6059,0.9793,0.662,0.79
0.6067,0.9792,0.6573,0.7866
0.609,0.9791,0.655,0.7849
0.613,0.979,0.6527,0.7832
0.6141,0.9789,0.6503,0.7815
0.6143,0.9789,0.648,0.7798
0.6198,0.9788,0.6457,0.7781
0.6206,0.9787,0.6434,0.7764
0.6258,0.9786,0.641,0.7746
0.6261,0.9786,0.6387,0.7729
0.6286,0.9784,0.634,0.7694
0.6287,0.9783,0.6317,0.7677
0.6293,0.9783,0.6294,0.766
0.6299,0.9782,0.627,0.7642
0.6315,0.978,0.6224,0.7607
0.6318,0.9779,0.62,0.7589
